time,FD FAN A  DISCHARGE PRESSURE_PI_06102_1,FD FAN B  DISCHARGE PRESSURE_PI_06102_2,FD FAN A COMPENSATED AIR FLOW_TOT_AIR_FL,COAL FEEDER SPEED MILL A_FIQC_03305_A_FB,COAL FEEDER SPEED MILL B_FIQC_03305_B_FB,COAL FEEDER SPEED MILL C_FIQC_03305_C_FB,COAL FEEDER SPEED MILL D_FIQC_03305_D_FB,COAL FEEDER SPEED MILL E_FIQC_03305_E_FB,MAIN STEAM PRESSURE_PI_02100_S,SEC AIR WINDBOX LEFT PRESSURE_PI_06102_5,SEC AIR PRESSURE AT WINDBOX RIGHT_PI_06102_6,PRIMARY AIR PRES FROM APH_PI_05102_4,SEC AIR O/L PRS AT APH_PI_06102_4,O2 AT ECONOMIZER INLET_QCR_06704
1552559588951,286.73712,291.376,297.2182,5.1509147,6.0822525,5.7523108,5.077383,0,97.55003,116.44107,90.26103,637.9603,163.94037,2.3663342
1552559648949,292.93414,287.1328,293.70944,5.14789,6.07976,5.744976,5.0921297,0,97.61823,112.475464,90.31658,628.5158,167.22363,2.1990743
1552559709445,288.9468,287.64056,292.29623,5.149082,6.0718627,5.746253,5.052785,0,97.917786,112.03387,89.00818,624.5339,163.81873,2.0658338
1552559769443,287.8606,291.1323,299.9012,5.1495495,6.0720987,5.6902065,5.004077,0,98.05218,116.63918,89.0632,629.55493,168.2333,2.230363
1552559829456,293.09036,288.22113,293.04224,5.146364,6.0925174,5.6838884,5.0176373,0,98.01299,117.077545,91.09643,631.04224,169.37158,2.2552254
1552559889454,288.10965,284.3253,293.4767,5.146543,6.087203,5.736622,5.0741663,0,98.07398,111.41561,91.12116,635.239,170.57147,2.2602677
1552559949451,288.7771,288.91818,296.20364,5.1473217,6.069927,5.7174106,5.0583987,0,98.21949,112.34206,89.12877,630.0972,160.97932,2.1902266
1552560009449,295.23965,288.3805,294.1614,5.151922,6.080291,5.60833,4.926188,0,98.5364,116.51942,85.10956,623.9212,170.19696,2.1486487
1552560069946,287.1889,289.47513,298.536,5.153144,6.07968,5.4690485,4.807901,0,98.49248,114.11377,85.47806,626.4479,168.0513,2.408516
1552560129943,289.40753,285.7517,293.86798,5.1489778,6.066585,5.46469,4.780343,0,98.028175,111.06544,87.63101,624.5229,170.0562,2.6449175
