id_1	perid__1	famid__1	famtyp_1	gender_1	age____1	grade__1	race___1	lvbiom_1	lvbiod_1	lvadpm_1	lvadpd_1	lvstpm_1	lvstpd_1	lvgrdm_1	lvgrdd_1	lvfrel_1	lvmrel_1	lvothf_1	lvothm_1	lvoldb_1	lvyngb_1	lvolds_1	lvyngs_1	lvgrdp_1	lvminr_1	lvmagr_1	lvmino_1	lvmajo_1	lvmykd_1	seedad_1	seemom_1	cktnhw_1	helphw_1	hsewrk_1	limtnt_1	limgo_1	cktout_1	asktnc_1	rewgrd_1	staout_1	whifrd_1	classs_1	works2_1	moneya_1	dating_1	gocoll_1	wrcoll_1	purbos_1	wkcurf_1	wkndcu_1	teentv_1	aftrsc_1	whanit_1	tnfree_1	tncors_1	schevn_1	tnstud_1	tngrad_1	tnsati_1	tncoll_1	tncarr_1	howlat_1	brkrul_1	howspe_1	whofrd_1	tndate_1	tnsex_1	tnalch_1	tndrug_1	tnrelg_1	tnlove_1	tnstan_1	tnindp_1	maacpt_1	mahlpm_1	matcme_1	maemme_1	maexme_1	mamdme_1	malime_1	maspro_1	maknme_1	madama_1	maseme_1	trusma_1	manono_1	matkme_1	mademe_1	melima_1	likema_1	masjob_1	masloc_1	memajb_1	mawkhm_1	mawklg_1	magowk_1	wknofa_1	wknoev_1	matkwr_1	gomalo_1	hpmawr_1	wvnowk_1	famwrk_1	hwsolm_1	hmanst_1	hwchom_1	hwmytm_1	hmalon_1	manowk_1	travlm_1	nomaln_1	nomalf_1	nomahp_1	nomaax_1	nomaid_1	paacpt_1	pahlpm_1	patcme_1	paemme_1	paexme_1	pamdme_1	palime_1	pasprb_1	paknme_1	madapa_1	paseme_1	truspa_1	panono_1	patkme_1	padpme_1	melipa_1	likepa_1	pasjob_1	pasloc_1	mepajb_1	parkwm_1	pawklg_1	pagowk_1	wrknof_1	wrknow_1	patkwk_1	gopalo_1	hppawr_1	evenow_1	pafmwk_1	hwsolo_1	hdanst_1	hwchod_1	hwmyt__1	hwalon_1	patmme_1	travlp_1	nopaln_1	nopalf_1	nopahp_1	nopaax_1	nopain_1	conwma_1	conwpa_1	emercn_1	talkto_1	talkma_1	talkpa_1	talkbr_1	talksi_1	talkat_1	talkun_1	talkgm_1	talkgp_1	talksp_1	talksm_1	talkom_1	talkof_1	talkot_1	norelx_1	famcre_1	flgood_1	spechp_1	noembr_1	probat_1	hapbir_1	alwluv_1	fmconv_1	fmchao_1	fmcomp_1	fmhelp_1	fmfite_1	fmdist_1	fmlove_1	fmgood_1	fmches_1	fmbore_1	fmopen_1	fminqu_1	fmbums_1	fmresp_1	fmwind_1	fmcred_1	fmnois_1	fmgrow_1	fmsucc_1	fmprid_1	fmpart_1	fmindi_1	fmwork_1	fmsche_1	tkeven_1	tkissu_1	tknews_1	cooktg_1	hmwktg_1	eatmtg_1	watvtg_1	shoptg_1	shopme_1	sprttg_1	musctg_1	artctg_1	volutg_1	relgtg_1	hobytg_1	cultur_1	movies_1	museum_1	sports_1	outdin_1	vistfr_1	travfn_1	vacati_1	cshphs_1	cbysit_1	chacti_1	ccookg_1	cdishs_1	cclnrm_1	cclean_1	claund_1	cyardm_1	mshphs_1	mchact_1	mcookg_1	mdishs_1	mclean_1	mlaund_1	myardm_1	pshphs_1	pchact_1	pcookg_1	pdishs_1	pclean_1	plaund_1	pyardm_1	wfaway_1	spchor_1	husbwk_1	chequa_1	boybtr_1	tchexp_1	genmat_1	prealg_1	algibr_1	geomet_1	algibi_1	precal_1	calcul_1	busmat_1	otmath_1	gensci_1	genphy_1	biolog_1	earsci_1	chemis_1	techno_1	physic_1	othsci_1	englis_1	wldhis_1	ushist_1	geogra_1	govmnt_1	econom_1	forlng_1	art____1	music__1	drama__1	gym____1	sexedu_1	psycho_1	comsci_1	comedu_1	buyred_1	hmeeco_1	shop___1	typing_1	farm___1	caps___1	comlit_1	mathn__1	enn____1	hisn___1	scin___1	absent_1	grades_1	acaawd_1	athawd_1	studo_1	comser_1	hmwpar_1	hnopar_1	nohpar_1	nohnop_1	drivel_1	car____1	usecar_1	team___1	band___1	theatr_1	stugov_1	nhs____1	hobbyc_1	yearbk_1	servic_1	smrtcl_1	educlb_1	friend_1	tv_____1	games__1	readin_1	hob____1	yutgrp_1	sportf_1	pool___1	volwrk_1	drivin_1	teleph_1	tlkwad_1	artncl_1	artocl_1	relcls_1	lesson_1	athlet_1	rlgion_1	rserv__1	rperso_1	employ_1	wrkhrs_1	wkndhr_1	tpofwk_1	wage___1	robbed_1	threat_1	fight__1	ko_____1	attack_1	offdrg_1	sawcrm_1	raped__1	many___1	populr_1	new____1	estran_1	docare_1	dotrst_1	dotalk_1	docoun_1	dolike_1	steady_1	tmstea_1	past___1	longes_1	pregnt_1	dropou_1	usedru_1	gangme_1	schsma_1	collst_1	wealth_1	divorc_1	wrkma__1	feelgd_1	igoodu_1	noprou_1	loser__1	calm___1	edge___1	worry__1	forget_1	contro_1	nervou_1	concen_1	unpred_1	moangr_1	exangr_1	ontopo_1	stress_1	nocope_1	consel_1	bothrd_1	appeti_1	hopefu_1	bluesh_1	keepmn_1	happya_1	depres_1	spells_1	fearfl_1	dislik_1	restls_1	tkless_1	lonely_1	joylif_1	feltsd_1	notgoo_1	good___1	failur_1	unfrdl_1	effort_1	decisi_1	notasg_1	nofocu_1	memory_1	copyhw_1	cheats_1	tardy__1	fakeid_1	gun____1	drunk__1	runawa_1	suicid_1	tnawol_1	drinks_1	presex_1	vandal_1	fights_1	steals_1	stl50d_1	stl50u_1	mug____1	hit____1	violen_1	marjua_1	addict_1	dealer_1	joyrid_1	theft__1	profit_1	paeduc_1	maeduc_1	ceduc_1	thirty_1	marria_1	chores_1	child__1	cook___1	earn___1	kids___1	mewk1d_1	mewk4d_1	mewkgd_1	mewkhr_1	wk2dn__1	wk4dn__1	wkgrd__1	wkhrs__1	numkid_1	choppu_1	goodjb_1	tnown__1	funjob_1	lvwfam_1	marrie_1	childr_1	hapfam_1	health_1	freedo_1	respec_1	friego_1	better_1	best___1	admmo	admyr	sitenum	avgdepi	depscoread
100103	3	1001	1	1	18	7	4	1	1	9	9	9	9	9	9	9	9	9	9	0	1	0	0	0	0	0	0	0	0	9	9	0	0	2	1	1	1	2	2	5	5	4	9	4	5	5	3	2	5	9	0	4	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	4	2	4	3	4	4	4	3	2	3	2	3	4	2	3	2	1	164	841	0	0	0	0	0	1	2	0	1	1	3	 	 	 	 	 	 	0	 	 	 	 	 	4	3	3	3	4	3	3	2	3	2	1	3	3	2	2	1	1	178	841	1	2	1	0	0	2	0	1	2	1	3	1	0	0	3	0	0	0	 	 	 	 	 	4	4	2	0	9	9	9	9	9	9	9	9	9	9	9	9	9	1	2	3	1	2	1	3	1	3	2	2	2	1	0	0	1	1	1	3	2	1	2	2	1	1	3	3	1	3	2	2	1	4	4	3	3	2	3	3	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	0	0	1	1	2	1	0	1	2	1	1	2	0	2	2	0	2	1	1	0	1	1	1	3	4	2	4	2	3	5	5	5	5	4	3	2	3	2	5	5	2	2	2	4	2	3	5	2	2	0	2	1	5	5	4	0	4	1	2	5	5	2	2	0	4	0	0	5	2	0	0	4	3	3	1	0	0	0	1	3	1	3	1	3	3	0	2	2	0	1	2	1	0	1	0	3	4	4	1	1	1	1	2	1	4	4	4	1	1	1	1	1	7	0	0	2	1	1	15	6	1	0	0	0	0	1	0	0	3	2	2	3	4	4	4	4	5	0	 	1	2	1	0	2	9	3	4	4	4	1	2	2	1	1	1	3	2	2	3	3	1	1	2	1	4	2	1	0	3	2	0	2	2	1	2	1	1	0	2	3	2	1	3	1	2	0	1	1	2	3	2	2	2	2	3	3	0	3	0	0	0	3	2	2	0	0	1	3	0	1	0	2	2	0	0	0	0	7	7	6	59	1	4	4	4	4	0	 	 	 	 	 	 	 	 	 	3	4	5	4	4	4	1	4	4	4	4	3	3	9	2	1999	1	1.7	34
100203	3	1002	1	2	17	7	4	1	1	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	9	9	3	2	2	3	1	1	2	0	2	5	4	5	5	3	1	5	2	2	6	4	1	4	4	4	4	4	4	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	5	4	4	2	3	3	4	2	3	2	5	4	2	3	3	2	3	375	711	1	4	2	0	1	0	3	9	1	1	4	0	1	1	3	1	1	0	 	 	 	 	 	5	2	2	2	2	4	4	3	2	3	4	4	3	2	2	2	3	243	712	2	1	3	0	2	1	2	1	1	1	3	2	1	0	3	1	1	1	3	3	3	3	3	2	3	2	1	1	1	9	9	9	9	9	9	9	9	9	9	9	1	2	3	2	2	1	2	3	2	2	1	2	2	0	2	2	2	1	3	2	0	2	2	2	1	2	3	2	2	2	2	2	3	3	3	2	2	4	3	2	2	1	1	1	2	3	1	2	1	2	2	2	2	2	3	0	0	0	0	0	1	1	0	0	1	0	2	1	2	1	0	0	0	1	1	0	0	0	5	5	2	5	3	4	0	0	0	2	2	2	2	0	0	0	0	3	0	2	0	2	0	5	3	2	0	2	0	5	0	5	0	5	0	1	0	0	0	0	0	0	0	0	0	4	4	4	4	3	2	1	0	0	1	4	9	9	1	1	3	0	0	2	0	0	1	0	0	0	0	0	2	3	1	2	1	2	2	1	2	1	3	3	3	2	1	1	1	8	4	1	4	4	3	13	3	0	0	0	0	0	0	0	0	3	2	2	2	4	3	3	3	4	0	 	0	 	0	0	0	0	4	4	4	1	1	3	4	1	1	2	2	2	1	3	1	2	2	2	2	2	3	3	0	0	0	2	0	1	3	0	0	0	1	0	2	1	3	1	1	3	0	1	1	2	2	3	2	1	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	6	998	1	2	2	2	4	1	0	0	1	2	2	2	2	2	3	1	5	5	4	3	4	4	4	4	3	4	4	3	3	8	1999	1	.5	10
100303	3	1003	1	2	17	7	4	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	9	0	0	2	0	2	0	2	0	3	5	4	1	5	5	5	4	2	3	6	0	4	4	1	1	4	1	1	1	4	1	4	0	0	0	0	0	1	1	1	9	1	1	5	2	3	2	1	2	5	3	3	2	3	5	2	2	1	1	2	158	842	1	3	3	1	2	1	2	4	0	1	4	1	1	1	3	0	0	0	 	 	 	 	 	5	2	3	2	1	3	5	2	3	1	3	5	2	3	1	2	2	143	850	4	3	2	1	1	1	0	2	0	1	4	2	1	1	3	0	0	1	3	3	3	3	3	4	2	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	0	2	3	2	3	0	3	3	2	1	3	3	0	1	3	3	0	0	3	2	0	2	2	3	0	3	3	3	3	1	3	3	3	2	3	1	2	3	1	2	2	1	2	1	2	3	9	2	2	1	1	2	2	2	4	1	0	1	2	1	1	1	1	0	2	3	3	2	2	2	1	2	3	3	2	2	2	1	5	5	1	5	3	2	0	0	2	2	2	2	0	0	2	0	0	2	2	2	0	2	0	5	2	2	0	2	0	5	2	0	0	3	2	1	0	0	0	0	0	0	0	0	0	2	3	4	3	3	1	1	0	0	1	3	1	2	3	1	3	0	1	0	2	1	2	1	2	2	2	0	3	1	1	4	3	3	3	1	3	4	4	4	1	3	4	1	4	5	4	1	1	 	 	 	 	1	0	0	0	0	0	0	0	5	3	1	1	5	5	4	4	5	0	 	0	 	0	0	1	9	3	4	3	1	3	3	3	0	0	3	0	2	2	4	1	0	0	0	3	3	2	1	0	0	1	2	0	1	3	0	0	0	0	0	0	0	3	0	0	3	0	0	0	2	2	3	3	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	6	999	1	3	3	3	3	1	1	1	2	2	1	1	2	2	3	3	3	3	4	2	4	4	4	4	5	4	4	3	3	2	1999	1	.15	3
100403	3	1004	1	2	17	7	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	9	3	3	2	2	3	2	3	2	3	3	4	5	4	4	5	4	2	3	6	1	0	4	4	1	1	4	4	1	4	4	4	1	1	1	1	0	0	1	1	4	4	1	5	5	4	1	3	4	4	2	4	2	5	5	2	4	4	2	3	159	761	1	2	4	2	0	0	3	3	2	3	4	0	2	0	3	0	1	1	3	9	3	4	1	5	4	3	1	2	3	5	2	3	1	5	9	9	9	9	9	9	26	892	1	4	0	0	0	0	3	9	0	3	4	2	0	0	3	0	0	1	3	9	3	4	3	5	5	3	1	1	1	9	1	9	9	9	9	9	9	9	9	9	0	3	3	3	3	0	3	3	2	2	2	3	1	0	3	3	2	0	3	3	0	3	2	3	1	1	3	2	3	0	3	3	4	3	2	3	3	3	3	2	2	2	3	2	2	3	4	2	3	1	1	3	2	2	3	1	9	1	2	1	1	2	0	1	2	2	1	3	3	3	0	1	1	1	1	1	1	3	4	5	2	5	2	1	5	0	2	2	2	9	0	0	2	9	2	9	9	2	9	2	9	5	1	2	0	1	0	5	3	5	0	5	1	0	0	0	0	0	0	0	0	0	0	4	3	5	4	5	2	0	0	0	0	2	1	1	2	1	3	3	2	2	2	0	0	0	0	1	0	0	2	3	1	4	4	3	2	4	2	4	3	4	4	3	1	1	4	8	2	2	5	1	1	13	4	1	0	0	0	0	1	0	0	5	5	1	3	4	4	3	4	4	0	 	1	2	1	1	3	9	3	3	3	1	1	4	4	0	1	2	1	2	1	3	0	1	1	1	4	3	2	2	0	2	0	1	0	0	3	0	0	0	0	1	0	0	3	0	0	3	0	0	1	1	3	2	2	1	0	3	0	0	3	0	0	0	3	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	7	7	6	5	1	3	2	1	3	1	0	1	1	1	2	2	2	2	3	2	5	5	5	5	5	5	5	4	4	5	5	4	3	3	1999	1	.3	6
100503	3	1005	1	2	17	7	2	1	1	0	0	0	0	0	0	0	0	0	0	9	1	9	9	9	9	9	9	9	9	9	9	2	3	2	1	1	2	3	1	3	5	3	2	3	5	1	5	1	4	5	1	4	4	4	1	4	4	4	4	4	4	1	1	1	0	0	1	1	1	1	1	1	4	4	3	4	2	4	4	4	3	3	3	4	5	4	2	3	2	1	154	850	0	2	1	1	2	2	3	1	1	2	2	1	2	1	3	2	2	1	4	4	3	4	4	4	3	3	1	3	5	5	3	2	3	5	4	5	3	2	2	2	235	181	1	0	3	3	1	1	3	2	1	3	3	 	 	 	 	 	 	1	3	3	3	4	3	5	5	3	1	9	9	9	9	9	9	9	9	9	9	9	9	9	2	1	3	3	3	1	3	3	3	1	3	3	2	1	3	2	3	1	2	2	2	2	1	3	2	2	3	2	3	2	2	3	3	3	4	4	4	4	3	2	2	2	2	1	1	1	9	2	2	2	1	2	1	1	3	1	0	1	1	2	2	2	3	0	2	2	3	1	1	2	0	1	2	2	3	1	0	2	4	4	3	5	4	4	0	0	0	2	2	2	2	0	0	0	0	3	0	2	0	2	0	5	2	2	0	0	0	5	0	5	0	0	2	3	0	0	0	0	0	0	0	0	0	4	3	5	4	1	2	1	1	1	0	4	1	6	1	1	2	3	2	2	9	2	9	2	2	0	2	9	3	3	1	2	1	2	1	1	4	4	3	4	4	1	9	1	4	16	0	0	9	 	 	5	3	0	0	0	0	0	0	0	0	5	3	2	2	5	5	5	5	4	1	13	1	13	1	1	1	9	3	3	3	1	3	2	2	2	2	3	1	2	0	2	2	1	1	0	0	2	2	3	1	3	2	3	2	2	1	1	0	0	0	1	0	2	2	2	1	1	0	1	1	4	3	3	1	1	0	2	0	0	3	0	0	0	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	7	5	998	1	2	3	3	4	1	1	2	2	2	2	2	2	2	3	2	4	4	3	4	5	5	4	4	3	4	4	4	4	2	1999	1	1.15	23
100603	3	1006	1	2	18	7	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	9	1	1	3	1	3	1	3	2	1	5	3	4	5	5	5	5	1	3	6	1	4	4	4	1	1	1	1	1	4	1	4	1	1	1	1	1	1	1	4	1	1	1	4	3	3	1	2	3	4	3	3	3	4	5	3	3	2	2	2	379	651	1	0	1	1	1	0	2	1	1	1	4	 	 	 	 	 	 	0	 	 	 	 	 	3	2	2	3	3	4	3	4	2	3	3	5	4	2	1	2	1	23	890	1	3	2	1	1	2	0	0	0	1	2	3	1	0	3	2	1	1	3	3	3	3	4	5	5	1	1	1	9	9	1	9	9	9	9	9	9	9	9	9	1	2	3	3	3	0	3	3	2	1	3	2	1	1	3	3	1	1	2	1	1	1	2	3	0	3	3	3	3	2	3	3	3	2	2	2	2	3	3	2	2	2	2	1	1	3	2	2	2	1	1	3	1	0	4	1	0	0	2	2	1	1	2	1	2	0	3	3	2	3	2	1	0	1	2	1	1	2	5	5	1	5	2	2	5	0	2	2	2	0	0	1	2	0	0	2	2	2	0	2	0	5	0	2	0	0	1	3	0	5	0	5	0	0	0	0	1	0	0	0	0	0	0	4	3	5	3	3	2	0	0	0	0	1	9	9	9	1	3	1	0	2	0	0	0	1	0	2	0	3	2	3	1	2	1	3	1	1	1	3	2	2	3	1	3	1	1	4	5	2	5	2	1	10	3	0	1	0	0	0	0	0	0	4	2	3	3	4	4	3	4	3	1	13	1	13	0	0	1	9	3	4	3	0	1	2	2	1	2	3	1	2	1	2	1	1	1	2	1	2	2	2	0	0	1	1	0	1	3	0	1	0	0	1	1	1	2	0	0	1	0	1	1	3	3	3	2	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	5	998	1	3	3	2	4	1	0	0	0	1	2	2	2	2	3	3	4	5	4	4	5	5	4	3	3	3	4	3	3	2	1999	1	.65	13
100803	3	1008	1	2	14	4	4	1	1	9	9	9	9	9	9	9	9	9	9	1	0	1	0	0	0	0	0	0	0	9	9	1	1	3	0	3	3	3	0	2	5	3	3	4	3	3	3	2	1	4	0	0	4	2	2	4	4	1	0	0	0	1	3	0	3	3	1	4	1	0	0	3	3	5	5	4	2	3	1	4	2	4	3	5	4	3	4	4	2	2	15	840	0	4	0	0	1	1	3	0	1	3	4	1	1	0	3	1	2	0	 	 	 	 	 	5	3	3	3	1	1	5	1	4	2	5	5	3	3	3	4	2	22	999	0	3	1	0	1	1	3	0	1	4	4	2	2	0	3	1	2	1	4	4	1	4	3	5	5	2	1	1	1	1	1	9	9	1	9	9	9	9	9	9	0	3	3	2	3	0	3	3	3	1	3	3	1	1	3	3	0	0	1	3	0	3	2	3	1	2	3	3	3	1	3	3	4	2	1	1	2	4	3	1	2	1	3	1	1	2	9	1	1	0	2	2	2	1	2	0	0	0	0	1	2	1	1	1	1	3	3	2	1	2	1	0	3	0	3	0	2	1	3	4	2	5	1	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	4	3	3	3	0	1	0	0	0	0	7	1	2	1	0	 	 	1	1	0	0	0	2	0	1	2	0	3	2	2	3	3	2	4	2	1	1	4	3	4	1	1	4	4	8	2	1	3	2	1	5	2	0	0	0	0	0	0	0	0	5	4	1	1	5	5	5	5	5	0	 	1	2	0	0	1	0	3	4	3	0	2	4	4	0	1	3	1	1	1	3	1	0	0	0	2	4	2	1	0	0	0	3	0	0	3	0	0	0	0	0	0	0	3	0	0	3	0	0	2	2	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	5	186	1	2	3	2	2	1	0	0	0	1	2	2	2	2	4	2	5	5	5	3	5	5	5	4	4	4	4	3	3	8	2000	1	.1	2
100903	3	1009	1	2	17	7	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	2	1	2	1	2	1	3	2	1	5	4	5	4	5	3	4	3	3	6	1	2	2	3	1	2	3	2	1	2	2	3	3	2	1	1	1	1	1	2	3	2	2	5	3	4	2	2	3	4	1	4	2	4	5	2	4	3	3	3	407	761	1	4	1	0	0	0	3	1	0	4	4	9	9	9	9	9	9	0	 	 	 	 	 	5	3	4	2	2	3	5	2	3	1	5	5	3	3	1	4	3	226	421	1	2	1	1	1	0	2	1	0	2	2	1	1	0	3	1	2	1	4	4	9	3	5	4	4	3	1	1	1	9	9	9	9	9	9	9	9	9	9	9	1	3	3	2	3	0	3	3	3	2	2	3	1	0	2	3	1	1	3	3	1	3	3	3	0	2	3	3	3	1	3	3	4	3	4	3	2	3	2	2	2	2	3	2	1	2	9	9	9	9	9	9	9	9	999	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	99	9	9	9	9	9	9	9	9	9	 	 	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	 	 	 	 	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	 	9	 	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	999	9	 	 	 	 	9	 	 	 	 	 	 	 	 	 	9	9	9	9	9	9	9	9	9	9	9	9	9	9	4	1999	1	 	 
101103	3	1011	1	2	16	5	4	1	1	9	9	9	9	9	9	9	9	9	9	1	0	0	0	0	0	0	0	0	0	9	9	3	1	3	2	1	0	3	1	4	5	3	4	5	3	4	4	2	3	9	1	4	4	4	1	4	4	1	0	0	1	1	0	1	4	1	1	1	1	4	1	1	1	5	4	5	2	1	1	4	2	5	3	5	5	3	5	3	2	2	254	700	0	1	2	0	0	0	1	1	0	1	3	9	9	9	9	9	9	0	 	 	 	 	 	5	3	4	2	1	1	5	1	4	2	5	5	3	3	1	3	2	187	850	3	3	2	2	1	1	2	1	1	2	4	3	2	1	3	1	0	1	4	4	3	4	4	5	4	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	0	3	3	3	3	0	3	3	3	2	3	2	2	1	3	3	3	0	3	3	1	2	3	3	3	2	3	3	3	2	3	2	4	3	3	4	3	4	4	3	2	1	3	1	1	3	9	3	3	2	2	3	1	2	2	2	0	0	3	3	0	1	2	1	2	3	4	2	2	2	2	2	3	4	3	3	2	2	2	5	1	5	3	3	0	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	3	2	0	0	0	0	3	0	5	1	3	1	0	0	0	0	0	0	0	0	0	0	4	3	4	5	3	1	0	0	0	0	3	1	3	1	0	 	 	0	2	2	0	0	1	0	0	0	0	1	4	1	1	1	3	1	1	1	1	1	4	3	4	1	1	1	8	4	2	3	5	1	5	1	1	0	0	0	0	0	0	0	4	2	2	3	5	4	4	3	4	0	 	1	3	0	0	2	0	2	3	2	1	2	3	3	1	2	1	0	2	3	3	0	0	2	1	3	1	3	2	0	0	0	3	0	2	3	0	0	0	1	1	0	1	3	1	2	3	0	1	1	3	3	3	3	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	5	186	1	4	3	4	3	1	0	1	2	2	2	2	1	2	3	2	3	4	5	3	5	5	5	4	4	4	4	3	3	3	1999	2	.5	10
101104	4	1011	1	1	18	7	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	9	3	2	2	3	1	0	2	0	4	5	4	3	5	5	3	4	2	4	9	1	0	1	1	1	1	4	1	1	1	1	1	1	0	0	1	1	1	1	4	4	1	1	5	4	5	1	2	2	5	2	4	2	5	5	2	5	2	3	1	7	700	0	0	0	0	0	0	2	1	0	1	4	 	 	 	 	 	 	0	 	 	 	 	 	5	4	5	1	1	2	5	1	4	1	5	5	1	5	1	3	3	154	850	3	1	0	1	0	0	1	0	0	0	4	1	0	0	3	0	0	0	 	 	 	 	 	4	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	0	3	3	2	3	0	3	3	3	1	2	3	1	0	3	3	3	0	2	2	0	2	3	3	1	3	3	2	2	1	3	2	4	3	1	3	3	4	4	2	2	1	3	1	1	3	9	3	2	1	0	3	2	3	3	1	0	3	3	2	0	0	1	0	1	1	3	3	1	1	0	1	1	3	2	1	1	0	3	5	1	5	1	1	0	0	0	2	2	2	2	0	0	0	0	2	0	2	0	2	0	5	2	2	0	0	0	4	0	5	0	5	1	0	0	0	1	0	0	1	0	0	0	4	4	5	5	2	1	0	0	0	0	5	3	9	1	1	3	0	0	2	2	0	0	0	0	0	0	0	1	4	1	1	1	3	1	1	2	4	2	3	3	4	1	1	1	8	4	2	3	3	1	1	3	0	0	0	0	0	0	0	0	3	1	2	1	5	5	5	5	5	0	 	0	 	0	0	1	0	4	4	3	0	4	4	4	1	1	3	0	2	0	4	0	1	0	0	3	2	2	1	0	0	0	3	1	1	3	1	0	0	0	0	0	1	3	0	0	3	0	0	3	1	2	3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	5	186	1	3	3	3	3	1	2	2	2	2	2	2	2	2	2	2	2	3	5	5	5	5	5	5	5	5	5	3	9	3	1999	2	.35	7
