time,DRUM PR,DRUM PR,PSH O/L (RGHT) ST PR,PSH ST TMP BEF ATT 1A,PSH ST TMP AFTER ATT 1A SEL,PSH O/L (LFT) ST PR,PSH ST TMP BEF ATT 1B,PSH ST TMP AFT ATT 1B SEL,MS PRS,MS TMP,SELECTED MS FLO,MS PRES (FLOW COMP) MED SEL,MS TEMP (FLOW COMP) MED SEL,MS PRS,MS TMP,SELECTED MS FLO,MS PRES (FLOW COMP) MED SEL,MS TEMP (FLOW COMP) MED SEL,CRH ST PR AFTER ATT,CRH ST TMP AFT ATT,HRH ST PR,HRH ST TMP SEL,SPRAY 1 COMP FLOW,SH II COMP SPRAY FLOW
1501527600000,156.58,156.44,152.76,467.29,420.154,152.71,486.95,419.147,146.14,545.31,560.2,144.371,543.75,146.14,545.31,560.2,144.371,543.75,38.26,330.85,37.19,548.694,49.908,4.994
1501529400000,158.41,158.28,155.51,468.29,425.647,155.45,485.95,427.38599999999997,148.89,553.55,563.8430000000001,146.202,551.99,148.89,553.55,563.8430000000001,146.202,551.99,38.29,340.96,37.208,556.934,45.233999999999995,4.355
1501531200000,160.24,160.11,157.34,465.27,427.478,157.28,479.92,427.38599999999997,150.72,546.22,571.1469999999999,148.033,545.581,150.72,546.22,571.1469999999999,148.033,545.581,38.29,334.22,37.208,547.778,40.64,5.4079999999999995
1501533000000,162.09,161.94,158.26,466.18,429.309,158.2,491.87,432.88,152.55,548.97,569.241,149.864,548.328,152.55,548.97,569.241,149.864,548.328,38.2,337.43,37.176,550.525,41.657,6.343
1501534800000,159.34,159.19,156.43,466.18,418.32300000000004,156.37,492.87,420.978,149.81,540.73,570.3530000000001,147.118,540.0880000000001,149.81,540.73,570.3530000000001,147.118,540.0880000000001,38.2,330.69,37.176,545.947,53.428000000000004,5.47
1501536600000,158.43,158.28,154.59,471.21,421.985,154.54,494.88,425.647,147.98,546.22,563.716,145.287,544.665,147.98,546.22,563.716,145.287,544.665,38.67,329.57,37.542,548.694,51.566,5.47
1501538400000,155.68,155.53,152.76,468.19,424.731,152.71,492.87,429.401,146.03,542.56,556.981,143.417,540.0880000000001,146.03,542.56,556.981,143.417,540.0880000000001,38.08,326.42,36.755,547.778,46.643,5.466
1501540200000,158.43,158.28,155.51,467.37,427.478,155.45,485.61,427.57,148.78,545.31,566.2090000000001,146.164,543.75,148.78,545.31,566.2090000000001,146.164,543.75,38.08,331.37,36.755,549.609,43.901,5.412000000000001
1501542000000,157.51,157.36,153.68,466.37,426.56300000000005,153.62,476.71,425.73800000000006,146.95,540.73,562.49,145.248,540.0880000000001,146.95,540.73,562.49,145.248,540.0880000000001,38.18,328.06,36.97,547.778,37.971,5.412000000000001
1501543800000,162.09,161.94,158.26,470.39,432.056,158.2,476.71,431.04900000000004,151.54,548.05,574.58,148.911,547.4119999999999,151.54,548.05,574.58,148.911,547.4119999999999,38.18,335.93,36.97,549.609,36.503,5.193
